Current projects signed as at 31 March 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique HMT Project ID,Project Name,Department,Procuring authority,Sector,Constituency,Region,Project Status,Date Of OJEU,Date of preferred bidder,Date of financial close,Date of construction completion,First date of operations,Operational period of contract (years),On / Off balance sheet under IFRS,On / Off balance sheet under ESA 95,On / Off balance sheet under UK GAAP,Capital Value (£m),Unitary charge payment 1992-93 (£m),Unitary charge payment 1993-94 (£m),Unitary charge payment 1994-95 (£m),Unitary charge payment 1995-96 (£m),Unitary charge payment 1996-97 (£m),Unitary charge payment 1997-98 (£m),Unitary charge payment 1998-99 (£m),Unitary charge payment 1999-00 (£m),Unitary charge payment 2000-01 (£m),Unitary charge payment 2001-02 (£m),Unitary charge payment 2002-03 (£m),Unitary charge payment 2003-04 (£m),Unitary charge payment 2004-05 (£m),Unitary charge payment 2005-06 (£m),Unitary charge payment 2006-07 (£m),Unitary charge payment 2007-08 (£m),Unitary charge payment 2008-09 (£m),Unitary charge payment 2009-10 (£m),Unitary charge payment 2010-11 (£m),Unitary charge payment 2011-12 (£m),Unitary charge payment 2012-13 (£m),Estimated unitary charge payment 2013-14 (£m),Estimated unitary charge payment 2014-15 (£m),Estimated unitary charge payment 2015-16 (£m),Estimated unitary charge payment 2016-17 (£m),Estimated unitary charge payment 2017-18 (£m),Estimated unitary charge payment 2018-19 (£m),Estimated unitary charge payment 2019-20 (£m),Estimated unitary charge payment 2020-21 (£m),Estimated unitary charge payment 2021-22 (£m),Estimated unitary charge payment 2022-23 (£m),Estimated unitary charge payment 2023-24 (£m),Estimated unitary charge payment 2024-25 (£m),Estimated unitary charge payment 2025-26 (£m),Estimated unitary charge payment 2026-27 (£m),Estimated unitary charge payment 2027-28 (£m),Estimated unitary charge payment 2028-29 (£m),Estimated unitary charge payment 2029-30 (£m),Estimated unitary charge payment 2030-31 (£m),Estimated unitary charge payment 2031-32 (£m),Estimated unitary charge payment 2032-33 (£m),Estimated unitary charge payment 2033-34 (£m),Estimated unitary charge payment 2034-35 (£m),Estimated unitary charge payment 2035-36 (£m),Estimated unitary charge payment 2036-37 (£m),Estimated unitary charge payment 2037-38 (£m),Estimated unitary charge payment 2038-39 (£m),Estimated unitary charge payment 2039-40 (£m),Estimated unitary charge payment 2040-41 (£m),Estimated unitary charge payment 2041-42 (£m),Estimated unitary charge payment 2042-43 (£m),Estimated unitary charge payment 2043-44 (£m),Estimated unitary charge payment 2044-45 (£m),Estimated unitary charge payment 2045-46 (£m),Estimated unitary charge payment 2046-47 (£m),Estimated unitary charge payment 2047-48 (£m),Estimated unitary charge payment 2048-49 (£m),Estimated unitary charge payment 2049-50 (£m),Estimated unitary charge payment 2050-51 (£m),Estimated unitary charge payment 2051-52 (£m),Estimated unitary charge payment 2052-53 (£m),Estimated unitary charge payment 2053-54 (£m),Estimated unitary charge payment 2054-55 (£m),Estimated unitary charge payment 2055-56 (£m),Estimated unitary charge payment 2056-57 (£m),Estimated unitary charge payment 2057-58 (£m),Estimated unitary charge payment 2058-59 (£m),Estimated unitary charge payment 2059-60 (£m),Equity holder 1: Name,Equity holder 1: Equity share (%),"Equity holder 1: change of ownership since March 2011? 
(Yes / No)",Equity holder 2: Name,Equity holder 2: Equity share (%),"Equity holder 2: change of ownership since March 2011? 
(Yes / No)",Equity holder 3: Name,Equity holder 3: Equity share (%),"Equity holder 3: change of ownership since March 2011? 
(Yes / No)",Equity holder 4: Name,Equity holder 4: Equity share (%),"Equity holder 4: change of ownership since March 2011? 
(Yes / No)",Equity holder 5: Name,Equity holder 5: Equity share (%),"Equity holder 5: change of ownership since March 2011? 
(Yes / No)",Equity holder 6: Name,Equity holder 6: Equity share (%),"Equity holder 6: change of ownership since March 2011? 
(Yes / No)",SPV name,SPV company number,SPV address
209,Cornwall Integrated Waste Manageement Project  ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Cornwall,Waste,More than one,ENGLAND_South West,InConstruction,2003-03-31,2006-01-01,2006-10-01,,2016-07-01,31,ON,OFF,ON,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,19.2,21.2,22.9,22.9,25.1,27.4,30.4,33.4,32.0,32.7,33.4,34.1,34.9,35.6,36.3,37.1,37.8,38.6,39.4,40.2,41.1,41.9,42.8,43.7,44.7,45.6,46.6,47.7,48.7,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SITA UK Ltd,100.0%,NO,,,,,,,,,,,,,,,,SITA Cornwall Ltd,05696514,"SITA House, Grenfell Road, Maidenhead, Berkshire, SL6 1ES"
210,ELWA Integrated Waste Management: Put Waste in its Place  ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",East London Waste Authority,Waste,More than one,ENGLAND_London,InOperation,2000-04-01,N/K,2002-12-01,2007-06-28,2007-06-29,25,ON,OFF,ON,171.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,29.9,32.4,41.4,45.9,49.7,53.4,55.2,56.4,57.9,59.4,58.7,60.2,61.7,63.3,64.8,66.5,68.1,69.9,71.2,72.6,74.0,74.9,74.9,57.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanks Waste Management Ltd,20.0%,NO,John Laing,80.0%,NO,,,,,,,,,,,,,ELWA Ltd,02700386,"DUNEDIN House, Auckland Park, Mount Farm Milton Keynes, MK1 1BU"
211,E.Sussex Brighton & Hove Intd Waste Management Service New Waste Partnerships,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)","East Sussex, Brighton and Hove Partnership",Waste,More than one,ENGLAND_South East,InOperation,2000-01-25,N/K,2003-03-01,2011-06-10,2012-02-01,30,ON,OFF,ON,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,14.3,18.5,18.3,21.1,25.4,30.9,34.0,32.6,33.7,34.4,35.2,36.0,36.8,37.7,38.7,39.7,40.7,41.8,42.9,44.1,45.2,46.4,47.6,48.9,50.2,51.5,52.9,54.3,55.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veolia ES UK,100.0%,NO,,,,,,,,,,,,,,,,Veolia E.S South Downs Ltd,03765422,"210 Pentonville Road, London, N1 9JY"
214,Manchester Waste,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Greater Manchester Waste Disposal Authority,Waste,More than one,ENGLAND_North West,InConstruction,2005-02-02,2007-01-26,2009-04-08,,2011-04-01,26,ON,OFF,N/A,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4,60.2,79.0,103.0,140.8,143.7,146.6,149.7,152.4,155.3,158.2,161.2,164.3,167.4,170.6,173.9,177.3,180.8,184.3,188.0,191.7,195.5,199.5,203.5,207.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Viridor Waste Limited,50.0%,NO,John Laing,50.0%,NO,,,,,,,,,,,,,Viridor Laing (Greater Manchester) Ltd,06411311,"1 Kingsway, London, WC2B 6AN "
215,Isle of Wight  Waste Management Project ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Isle of Wight,Waste,Isle of Wight,ENGLAND_South East,InOperation,1996-07-29,N/K,1997-06-17,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,18,ON,OFF,ON,15.9,0.0,0.0,0.0,0.0,0.0,1.5,3.6,3.8,4.0,4.4,4.7,4.9,5.5,5.2,5.4,5.6,5.8,6.1,6.3,6.6,6.8,7.1,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Biffa Holdings Limited,100.0%,NO,,,,,,,,,,,,,,,,Island Waste Services Ltd.,01552791,"Coronation Road, HP12 3TZ Cressex, High Wycombe, Bucks, HP12 3TZ"
216,PFI Eastbrook,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)","DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",Offices,Cambridge,ENGLAND_East,InOperation,1996-07-29,N/K,N/A,2003-03-01,2003-03-28,30,OFF,OFF,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.6,3.7,3.7,3.8,4.1,4.2,4.3,4.3,4.6,4.9,5.0,5.0,5.1,5.1,5.7,5.7,5.8,5.8,5.9,6.5,6.6,6.7,6.7,6.8,7.5,7.6,7.6,7.7,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure Managers Limited ,100.0%,NO,,,,,,,,,,,,,,,,Eastbrook Facilities Limited,03817295,Registered Office: c/o Law Debenture Fifth FloorWood StreetLondonEC2V 7EX
217,Cambridgeshire Waste Management Project ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Cambridgeshire,Waste,More than one,ENGLAND_East,InOperation,2005-02-01,2006-09-01,2008-03-01,2009-11-06,2012-08-01,28,ON,OFF,ON,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,17.2,21.6,19.1,19.9,20.9,21.5,22.1,22.8,23.4,24.1,24.7,25.4,26.1,26.8,27.5,28.2,28.9,29.7,30.4,31.2,32.0,32.8,33.7,34.5,35.4,36.3,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Donarbon Services Ltd,100.0%,YES,,,,,,,,,,,,,,,,Amey Cespa Waste Management (East) Ltd,06054499,"THE SHERARD BUILDING, EDMUND HALLEY ROAD, OXFORD, OX4 4DQ "
218,Hereford & Worcestershire Waste Management Project  ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Herefordshire,Waste,Hereford,ENGLAND_West Midlands,InConstruction,N/K,N/K,1998-12-23,,2015-12-01,25,ON,OFF,ON,183.3,0.0,0.0,0.0,0.0,0.0,0.0,3.4,15.5,15.3,17.2,20.4,22.8,24.9,27.9,31.3,32.9,33.0,34.7,35.7,39.6,28.7,29.5,29.9,30.9,31.9,33.0,34.2,35.4,36.6,37.7,38.6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FOCSA Services (UK) Ltd,50.0%,NO,Urbaser,50.0%,NO,,,,,,,,,,,,,Mercia Waste Management,03525188,THE MARINA KINGS ROAD EVESHAM WORCESTERSHIRE UNITED KINGDOM WR11 3XZ
219,Lancashire Waste Partnership  PFI proposal,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Lancashire,Waste,More than one,ENGLAND_North West,InOperation,2004-03-01,2005-09-01,2007-03-02,2010-03-01,2010-09-01,25,ON,OFF,ON,262.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,59.8,66.4,67.7,68.9,70.2,71.5,72.8,74.2,75.6,77.1,78.6,80.2,81.8,83.5,85.3,87.1,89.4,91.4,93.4,95.5,97.7,99.9,102.2,104.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Global Rewables UK Ltd/AMEC,50.0%,NO,Catalyst Lend Lease Holdings,50.0%,NO,,,,,,,,,,,,,Amec Global Renewables UK ltd.,05123081,"BoothsPark, Chelford Road, Knutsford, Cheshire, WA16 8QZ"
220,Leicester Contract for Integrated Waste Management Services ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Leicester,Waste,More than one,ENGLAND_East Midlands,InOperation,2001-03-01,N/K,2002-11-25,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,25,ON,OFF,ON,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,11.3,11.3,11.4,13.3,13.4,13.7,13.8,14.1,14.7,14.8,15.0,15.1,15.5,16.0,16.7,16.8,17.1,17.3,17.5,17.5,17.5,17.5,17.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Biffa Leicester SPV,100.0%,NO,,,,,,,,,,,,,,,,Biffa Leicester Ltd ,04602279,"BIFFA CORONATION ROAD, CRESSEX BUSINESS PARK, HIGH WYCOMBE, BUCKINGHAMSHIRE, HP12 3TZ"
221,Southwark Integrated Waste Management Solutions Programme   ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Southwark,Waste,More than one,ENGLAND_London,InOperation,2005-04-01,2007-03-01,2008-02-11,2011-10-01,2012-03-03,26,ON,OFF,ON,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,18.7,19.2,19.9,24.5,25.0,23.9,24.5,24.6,23.7,24.4,25.1,25.8,26.5,27.3,28.1,28.8,29.6,30.4,31.2,32.1,32.9,33.8,34.8,35.7,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veolia ES Aurora Ltd.,100.0%,NO,,,,,,,,,,,,,,,,Veolia E.S Southwark Ltd,06256521,"210 Pentonville Road, London, N1 9JY"
222,North'land Waste Management PFI Project,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Northumberland,Waste,More than one,ENGLAND_North East,InOperation,2004-05-01,2006-08-01,2006-12-01,2008-08-31,2008-09-01,28,ON,OFF,ON,121.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,13.1,17.5,18.3,19.1,20.3,20.8,21.4,21.8,22.3,22.8,23.3,23.9,24.6,25.2,26.0,26.7,27.4,28.2,29.0,29.9,30.8,31.6,32.5,33.4,34.4,35.4,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SITA UK Ltd,42.0%,NO,Royal Bank of Scotland,42.0%,NO,AXA,15.0%,NO,,,,,,,,,,SITA (Northumberland) Ltd,05934106,"301-303 Parkway, Worle, Western-Super-Mare, BS22 6WA"
223,Nottinghamshire Sustainable Waste Solutions,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Nottinghamshire,Waste,More than one,ENGLAND_East Midlands,InConstruction,2002-06-01,2005-07-01,2006-06-01,,2016-12-31,26,ON,OFF,ON,132.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,15.0,14.9,17.0,25.0,30.9,31.4,31.9,32.4,32.9,33.4,34.0,34.1,34.6,35.1,35.7,36.3,36.9,37.4,38.1,38.7,39.3,40.0,40.6,41.3,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veolia ES Aurora Ltd. ,100.0%,NO,,,,,,,,,,,,,,,,Veolia E.S Nottinghamshire Ltd,05584380,"210 Pentonville Road, London, N1 9JY"
224,Shropshire Integrated Waste Contract ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Shropshire,Waste,More than one,ENGLAND_North West,InConstruction,2004-10-01,2007-02-01,2007-09-29,,2015-06-01,28,ON,OFF,ON,141.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,12.6,21.1,22.8,23.7,23.9,27.7,28.4,29.0,29.7,30.4,31.1,31.9,32.6,33.4,34.2,35.0,35.8,36.6,37.5,38.3,39.3,40.2,41.2,42.2,43.2,44.2,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veolia ES Aurora Ltd,100.0%,NO,,,,,,,,,,,,,,,,Veolia ES Shropshire Ltd ,06256563,"210 Pentonville Road, London, N1 9JY"
225,Kirklees Waste Management Project  ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Kirklees,Waste,Huddersfield,ENGLAND_Yorkshire and the Humber,InOperation,1997-01-08,N/K,1998-04-02,2001-12-31,2002-01-01,25,ON,OFF,ON,33.9,0.0,0.0,0.0,0.0,0.0,0.0,6.3,7.3,7.6,7.8,8.0,8.0,9.0,9.5,10.0,10.5,10.9,11.4,12.2,10.1,10.3,10.6,10.8,11.1,11.4,11.7,12.0,12.3,12.6,12.9,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SITA Kirklees Ltd,100.0%,NO,,,,,,,,,,,,,,,,SITA (Kirklees) Ltd,03497105,"SITA House, Grenfell Road, Maidenhead, Berkshire, SL6 1ES"
226,Surrey Quest Waste Disposal Project ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",Surrey,Waste,More than one,ENGLAND_South East,InConstruction,1997-07-21,N/K,1999-06-01,,2015-06-01,25,ON,OFF,ON,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,30.0,33.6,42.6,49.3,50.9,52.7,53.8,54.8,55.9,57.0,58.2,59.3,60.5,61.7,62.9,64.2,65.4,66.7,68.1,69.4,70.8,72.3,73.7,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Suez  Group,100.0%,NO,,,,,,,,,,,,,,,,SITA Surrey Waste Management Ltd,03184332,"SITA House, Grenfell Road, Maidenhead, Berkshire, SL6 1ES"
227,West Berkshire Long-term Integrated Waste Management Contract  ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",West Berkshire,Waste,More than one,ENGLAND_South East,InOperation,2004-04-01,2007-05-01,2008-03-12,2011-10-20,2011-10-19,26,ON,OFF,ON,65.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,16.7,16.7,17.9,17.8,18.2,18.6,18.9,19.4,19.8,20.2,20.6,21.0,21.4,21.8,22.3,22.7,23.2,23.7,24.2,24.7,25.2,25.7,26.2,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veolia E.S.,100.0%,NO,,,,,,,,,,,,,,,,Veolia ES West Berkshire,06256562,"210 Pentonville Road, London, N1 9JY"
228,West Sussex Recycling & Waste Handling Project - Reclaim ,"DEPT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS (GROUP)",West Sussex,Waste,More than one,ENGLAND_South East,InOperation,2000-04-27,N/K,N/A,2012-02-29,2012-03-01,25,ON,OFF,ON,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,8.9,11.0,11.8,11.8,13.1,13.8,14.3,14.9,15.6,16.6,17.2,18.0,18.6,19.3,20.3,21.0,21.8,22.6,23.4,24.2,25.0,25.9,26.8,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Viridor Waste Limited,100.0%,NO,,,,,,,,,,,,,,,,VIRIDOR WASTE (WEST SUSSEX) LIMITED ,04939078,"Peninsula House, Rydon Lane, Exeter EX2 7HR"
229,Redcar & Cleveland Street Lighting,DEPARTMENT FOR TRANSPORT (GROUP),Redcar and Cleveland,Street Lighting,"More than one - Redcar, Middlesborough South & East Cleveland",ENGLAND_North East,InOperation,2004-10-01,2006-10-01,2007-08-01,2012-04-01,2007-09-01,26,ON,OFF,OFF,21.4,,,,,,,,,,,,,,,,1.5,2.3,2.9,3.4,3.5,3.2,3.3,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,5.0,5.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIC Projects Ltd,68.0%,NO,IIC Redcar and Cleveland Funding Investment Ltd,17.0%,NO,ETDE Infrastructure Limited,15.0%,NO,,,,,,,,,,Redcar & Cleveland Lighting Services Limited,5598521,"3 Tenterden Sreet, London W1S 1TD"
230,Barnet Street Lighting,DEPARTMENT FOR TRANSPORT (GROUP),Barnet,Street Lighting,"More than one - Chipping Barnet, Finchley & Golders Green, Hendon",ENGLAND_London,InOperation,2004-08-01,2005-11-01,2006-03-01,2011-04-01,2006-04-01,26,ON,OFF,OFF,27.7,,,,,,,,,,,,,,,2.2,3.0,3.4,3.9,4.5,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bouygues Energies & Services Infrastructure UK Ltd,15.0%,NO,Mill Group,68.0%,NO,Investors in the Community Fund 2 ,17.0%,NO,,,,,,,,,,N/K,N/K,N/K
231,Carlisle Northern Development Route,DEPARTMENT FOR TRANSPORT (GROUP),Cumbria,Roads and Highway Maintenance,"More than one - Carlisle, Penrith & The Borders, Workington.",ENGLAND_North West,InOperation,2004-02-01,2007-11-01,2009-07-15,2012-02-10,2011-08-10,31,OFF,OFF,N/K,60.1,,,,,,,,,,,,,,,,,,2.7,5.5,5.7,12.4,13.5,13.6,13.8,14.0,14.2,14.4,14.7,14.9,15.1,15.3,15.6,15.8,16.0,16.3,16.5,16.8,17.1,17.4,17.6,17.9,18.2,18.5,18.9,19.2,19.5,19.8,5.8,,,,,,,,,,,,,,,,,,,,,Balfour Beatty Infrastructure Investments Ltd,82.4%,NO,Reliance,17.7%,NO,,,,,,,,,,,,,Connect CNDR Ltd,6566595,"350 Euston Road, Regent's Place, London, NW1 3AX"
232,Sunderland Street Lighting,DEPARTMENT FOR TRANSPORT (GROUP),Sunderland,Street Lighting,"More than one - Sunderland North, Sunderland South, Hetton, Houghton and Washington",ENGLAND_North East,InOperation,2001-03-01,2002-10-09,2003-08-01,2009-04-01,2003-11-01,26,ON,OFF,OFF,27.4,,,,,,,,,,,,2.1,3.7,5.2,6.4,6.4,8.0,7.7,7.5,8.4,8.9,9.0,9.1,9.2,9.4,9.5,9.6,9.7,9.9,10.0,10.2,10.3,10.4,10.6,10.7,10.9,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balfour Beatty plc,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
233,Stoke Street Lighting,DEPARTMENT FOR TRANSPORT (GROUP),Stoke-on-Trent,Street Lighting,"More than one - Stoke-on-Trent North, South, Central",ENGLAND_West Midlands,InOperation,2001-02-01,N/K,2003-08-01,2008-08-31,2003-09-01,26,ON,OFF,OFF,22.6,,,,,,,,,,,,1.8,3.2,3.3,3.5,3.6,3.8,4.6,4.3,4.6,4.7,4.8,5.0,5.1,5.2,5.3,5.5,5.6,5.7,5.9,6.0,6.2,6.3,6.5,6.7,6.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No equity injected - 100% senior debt,100.0%,NO,,,,,,,,,,,,,,,,Tay Valley Lighting (Stoke-on-Trent) Limited,4421339,"The Quadrangle, The Promenade, Cheltenham, GL50 1PX"
234,Estates Transformation,DEPARTMENT FOR TRANSPORT (GROUP),DRIVER AND VEHICLE LICENSING AGENCY,Offices,More than one,National/More than one region,InOperation,2003-12-01,2005-01-01,2005-03-01,2009-04-01,2005-06-01,20,ON,OFF,OFF,93.2,,,,,,,,,,,,,,9.8,10.6,13.1,19.7,20.9,21.7,22.9,24.0,24.4,23.0,23.6,24.4,25.3,26.1,27.1,28.0,29.0,30.0,31.1,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telereal Trillium (DV1A)  Ltd,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
235,Manchester Street Lighting,DEPARTMENT FOR TRANSPORT (GROUP),Manchester,Street Lighting,"More than one - Manchester Blackley, Manchester Central, Manchester Gorton, Manchester Withington, Wythenshaw & Sale East",ENGLAND_North West,InOperation,2001-03-01,N/K,2004-03-01,2009-04-01,2004-07-01,26,ON,OFF,OFF,38.3,,,,,,,,,,,,,4.5,5.0,5.0,6.0,7.0,7.5,7.6,7.1,7.8,7.9,8.0,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9.0,9.1,9.2,9.3,9.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Laing PLC,50.0%,NO,Amey LG,50.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
