1,12/06/1998,Serco Group plc,"Defence Helicopter Flying School (FBS Limited, operational contract – 47 helicopters and site services)",1,01/12/1996,FR Aviation Ltd and Bristow Helicopter Group,33,3.4 plus net liabilities ,4.6,1.58,179.3,Serco AR 1998 p39,Serco Press 12/06/1998,
71,12/01/2005,Kier Group plc,"Neath Port Talbot Hospital, Wales",1,12/05/2000,Secondary Market Infrastructure Fund,24,5,2.5,4.67,21.4,Kier Group AR 2005 p16,PPPFocus 12/01/2005,
72,20/01/2005,WS Atkins plc,Hereford Hospital - Mercia Healthcare (Holdings) Ltd,1,16/04/1999,Secondary Market Infrastructure Fund,25,5.6,3.7,5.75,33.9,Atkins RNS 20/01/2005,Atkins AR 2005 p26,
73,26/01/2005,Alfred McAlpine plc ,Hereford Hospital - Mercia Healthcare (Holdings) Ltd,1,16/04/1999,Secondary Market Infrastructure Fund,25,5.6,2.9,5.75,18.7,Alfred McAlpine plc Interim 2005 p16,McAlpine Press Release 26/1/2005,
74,31/01/2005,Jarvis plc,"London Underground PPP: Deep Tube Lines (Jubilee, Northern & Piccadilly) Jarvis shareholding in Tube Lines (Holdings) Ltd and Secondment Business of Jarvis LUL Limited",1,03/12/2002,Amey plc,33.3,146.8,52.9 net gain on 95.5 cash with rest used to repay debt,2.08,27.1,"Jarvis plc RNS 24/12/2004, Jarvis AR 2005 p56 and 57",Amey Press 31/01/2005,Partnerships UK Database
75,01/02/2005,Anglian Water Group,"Bristol, Bath & Portsmouth Family Quarters, Ministry of Defence",1,30/11/2001,Infrastructure Investors,33,n/a,n/a,n/a,n/a,Partnerships UK database ,,
76,01/02/2005,MJ Gleeson Group plc ,Tiverton Community Hospital,1,01/07/2002,PFI Infrastructure Company,40,1.1,0.8,2.58,n/a,PFI Infrastructure AR 2005 p3,Gleeson AR 2006 p18 and 62,
77,01/02/2005,MJ Gleeson Group plc ,Sheffield Family Hearing Centre ,1,21/01/2002,Henderson Infrastructure,50,n/a,n/a,n/a,n/a,Gleeson AR 2006 p18 and 62,,
78,01/03/2005,Shepherd Construction,Bishop Auckland Hospital,1,28/05/1999,Henderson Infrastructure,20,n/a,n/a,n/a,n/a,Partnerships UK Database,,
79,01/03/2005,United Medical Enterprises Group ,United Medical Enterprises Ltd – Asset management business,1,n/a,Secondary Market Infrastructure Fund,100,5,“Paid a premium for these assets”,n/a,n/a,"Public Private Finance, March 2005, ",SMIF.com accessed 06/06/2006,
80,01/04/2005,Jarvis plc,"Ashburton Learning Village, LBC Croydon",1,27/05/2004,Barclays Private Equity ,50,n/a,n/a,n/a,n/a,Partnerships UK Database,,
81,01/04/2005,UK bank,3 projects,3,n/a,Secondary Market Infrastructure Fund,n/a,25,n/a,n/a,n/a,"SMIF Update, SMIF.com accessed 06/06/2006",,
82,01/04/2005,Royal Bank of Scotland,"Miltoncross School, Portsmouth",1,05/03/1999,King Sturge,30,n/a,n/a,n/a,n/a,Partnerships UK Database,,
83,01/04/2005,Anglian Water Group,Edinburgh Royal Infirmary,1,31/08/1998,Infrastructure Investors,15,n/a,n/a,n/a,n/a,Partnerships UK Database,,
84,01/06/2005,Kajima Partnerships (96%) and Japan England Insurance,"Brooklands Avenue, Cambridge, Offices for Dept for Environment, Food & Rural Affairs",1,27/02/2001,Infrastructure Investors,100,10,n/a,n/a,n/a,Partnerships UK Database,,
85,20/06/2005,Autostrade S.p.A.,M6 Toll Road (Midland Express Limited),1,15/09/2000,Macquarie Midland Holdings Ltd,25,49,12,4.75,6.8,Autostrade Press 20/06/2005,,
86,01/07/2005,WS Atkins plc,"Penweddig Secondary School, Aberystwyth",1,16/09/1999,Innisfree Ltd,42.5,1.4,0.7,5.75,17.4,Atkins AR 2006 p37 and 68,,
87,01/07/2005,Mill Group ,Glasgow Schools Project 2002,1,26/07/2000,John Laing plc,8.7,10.9,n/a,n/a,n/a,Laing AR 2005 p9 and 17,,
88,01/07/2005,Existing shareholders,Edinburgh Schools PPP1,1,15/11/2001,John Laing plc,11.4,see above,n/a,n/a,n/a,Laing AR 2005 p9 and 17,,
89,01/07/2005,Barclays Private Equity,Walsall street lighting,1,03/02/2003,John Laing plc,50,see above,n/a,n/a,n/a,Laing AR 2005 p9 and 17,,
90,01/07/2005,Barclays European Infrastructure and Noble PFI Fund,Ministry of Defence Heavy Equipment Transporters,1,01/12/2001,Elbon PFI fund,50,n/a,n/a,n/a,n/a,Partnerships UK Database,,
91,01/07/2005,Costain Group plc,"Kings College Hospital New Block, London",1,06/12/1999,Infrastructure Investors,16.7,n/a,3.5,n/a,n/a,Costain Group plc AR 2005 p19,,
92,01/07/2005,n/a,4 Health assets,4,n/a,Secondary Market Infrastructure Fund,n/a,40,n/a,n/a,n/a,"SMIF Update, SMIF.com accessed 06/06/2006",,
93,01/10/2005,Global Solutions Ltd,"Altcourse Prison, Liverpool",1,20/12/1995,Secondary Market Infrastructure Fund,50,n/a,n/a,n/a,n/a,Partnerships UK Database,,
94,03/10/2005,John Laing plc ,"Joint Services Command & Staff College, Swindon, Defence Management (Holdings) Ltd ",1,01/06/1998,Serco Group plc,50,5.9 plus liabilities,7.9,7.33,56.7,Serco RNS 03/10/2005,Laing AR 2005 p9,Laing Press 03/10/2005
95,01/11/2005,Parkwood Holdings plc,Penwith District Council Recreation Project ,2,01/03/2004,Henderson Infrastructure (Parkwood retains 50% of each project),50,n/a,0.1,n/a,n/a,Parkwood Holdings AR 2005 p9/10,,
96,01/11/2005,Parkwood Holdings plc,LBC Bexley Leisure Centres,,01/07/2003,Henderson Infrastructure (Parkwood retains 50% of each project),see above,n/a,see above,n/a,n/a,Parkwood Holdings AR 2005 p9/10,,
96,01/11/2005,RCO Holdings (ISS Europe),Calderdale Royal Hospital,1,31/07/1998,Bank of Scotland,16.7,n/a,n/a,n/a,n/a,Partnerships UK Database,,
97,01/11/2005,Wates Group,"Lammas Community School, Waltham Forest",4,01/02/2000,Innisfree Ltd,"15.0, ",n/a,n/a,n/a,n/a,Partnerships UK Database,,
97,01/11/2005,Wates Group,LBC Merton Schools,,25/11/2002,Innisfree Ltd,15,n/a,n/a,n/a,n/a,Partnerships UK Database,,
97,01/11/2005,Wates Group,"Penweddig Secondary School, Wales",,16/09/1999,Innisfree Ltd,15,n/a,n/a,n/a,n/a,Partnerships UK Database,,
97,01/11/2005,Wates Group,"Swanscombe Schools, Dartford",,24/05/2001,Innisfree Ltd,35,n/a,n/a,n/a,n/a,Partnerships UK Database,,
98,15/11/2005,Miller Group,"Glasgow Schools Project 2002, ",3,26/07/2000,Secondary Market Infrastructure Fund,25,n/a,n/a,n/a,n/a,SMIF.com accessed 06/06/2006,,
98,15/11/2005,Miller Group,Edinburgh Schools PPP1 ,,15/11/2001,Secondary Market Infrastructure Fund,30,n/a,n/a,n/a,n/a,Partnerships UK Database,,
98,15/11/2005,Miller Group,Tower Hamlets Group Schools,,28/06/2002,Secondary Market Infrastructure Fund,45,n/a,n/a,n/a,n/a,Partnerships UK Database,,
99,23/11/2005,Alfred McAlpine plc ,"Wythenshaw Hospital, University Hospital of South Manchester NHS Foundation Trust",1,08/06/1998,Secondary Market Infrastructure Fund,25,7.5,4.3,7.42,18.1,Building 25/11/2005,SMIF.com accessed 6/6/2006,PPPFocus 29/11/2005
100,23/11/2005,Infracare Group Ltd,"Bristol LIFT Tranche 1a, ",3,06/05/2004,Babcock Brown Partnerships,100,n/a,n/a,n/a,n/a,Contract Journal 23/11/2005,,
100,24/11/2005,Infracare Group Ltd,Oxford LIFT Tranche 1a,,26/11/2004,Babcock Brown Partnerships,see above,n/a,n/a,n/a,n/a,Contract Journal 23/11/2005,,
100,25/11/2005,Infracare Group Ltd,Dudley LIFT Tranche 1a,,12/10/2005,Babcock Brown Partnerships,see above,n/a,n/a,n/a,n/a,Contract Journal 23/11/2005,,
101,29/11/2005,WS Atkins plc,"Wythenshaw Hospital, University Hospital of South Manchester NHS Foundation Trust",1,08/06/1998,Secondary Market Infrastructure Fund,25,7.8,5.7,7.42,36.6,Atkins RNS 29/11/05,Atkins AR 2006 p37,
102,01/12/2005,Centreland (private property company),Sheffield Family Hearing Centre,1,21/11/2002,Henderson infrastructure,50,n/a,n/a,n/a,n/a,Partnerships UK Database,,
103,01/12/2005,Quayle Munro Holdings plc,Calderdale Royal Hospital,1,31/07/1998,Bank of Scotland,30.1,n/a,n/a,n/a,n/a,Partnerships UK Database,,
104,01/12/2005,Jarvis plc & ,Bridlington Schools,1,20/12/2000,Secondary Market Infrastructure Fund,50,n/a,n/a,n/a,n/a,Partnerships UK Database,,
105,01/12/2005,Barclays Private Equity,Bridlington Schools,1,20/12/2000,Secondary Market Infrastructure Fund,50,n/a,n/a,n/a,n/a,Partnerships UK Database,,
106,01/12/2005,Royal Bank of Scotland,Edinburgh Royal Infirmary,1,21/08/1998,Infrastructure Investors  ,11.1,n/a,n/a,n/a,n/a,Partnerships UK Database,,
107,01/12/2005,Royal Bank of Scotland,Edinburgh Royal Infirmary,1,21/08/1998,Balfour Beatty plc,31.4,31,n/a,n/a,n/a,Balfour Beatty AR 2005 p17,Partnerships UK Database,
108,07/12/2005,John Laing plc ,Metropolitan Police Specialist Training Centre Gravesend ,4,20/04/2001,"Allianz PFI Holdings (Jersey) Ltd, subsidiary of Allianz AG",50,23.1,13,4.38,29.4,Laing AR 2005 p11,,
108,07/12/2005,John Laing plc ,Cleveland & Durham Firearms Training Centre,,01/04/2000,"Allianz PFI Holdings (Jersey) Ltd, subsidiary of Allianz AG",see above,see above,see above,see above,see above,Laing Press 07/12/2005,,
108,07/12/2005,John Laing plc ,South East London Police Stations,,01/10/2001,"Allianz PFI Holdings (Jersey) Ltd, subsidiary of Allianz AG",see above,see above,see above,see above,see above,Investors Chronicle 13/01/2006,,
108,07/12/2005,John Laing plc ,Greater Manchester Police Authority Police Stations,,04/12/2002,"Allianz PFI Holdings (Jersey) Ltd, subsidiary of Allianz AG",see above,see above,see above,see above,see above,Investors Chronicle 13/01/2006,,
109,16/12/2005,3i plc,Royal Navy Fleet Communications Service,1,01/06/2000,Infrastructure Investors,40,n/a,n/a,5.5,n/a,Partnerships UK Database,,
110,16/12/2005,Barclays Capital,Royal Navy Fleet Communications Service,1,01/06/2000,Infrastructure Investors,40,n/a,n/a,5.5,n/a,Partnerships UK Database,,
111,23/12/2005,Degremont SA (Suez),"Meadowhead (Irvine), Ayr, Stevenston & Inverclyde Sewage Treatment Plant",1,11/10/2000,Northumberland Water Group plc,25.0 (to 75.0),3.3,n/a,5.17,n/a,Northumbrian Water Group AR 05/06. ,Northumberland Water RNS 23/12/2005,
112,09/01/2006,n/a,Edinburgh Schools,1,15/11/2001,PFI Infrastructure Co,7.1,1.6,n/a,n/a,n/a,PFI Infrastructure News 09/01/2006,,
113,09/01/2006,PFI Infrastructure Company PLC,Aberdeenshire Schools PPP1,3,07/03/2001,Infrastructure Investors,28.6,3.2,1.1 since acquisition in July 2004 ,1.42,36.9,PFI Infrastructure Co RNS 09/01/2006,Partnerships UK Database,
113,09/01/2006,PFI Infrastructure Company PLC,Chester-le-Street Hospital ,,30/05/2002,Infrastructure Investors,see above,see above,see above,see above,see above,PFI Infrastructure Co RNS 09/01/2006,Partnerships UK Database,
113,09/01/2006,PFI Infrastructure Company PLC,"Ingleby Barwick Community Campus, Stockton",,23/04/2002,Infrastructure Investors,see above,see above,see above,see above,see above,PFI Infrastructure Co RNS 09/01/2006,Partnerships UK Database,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),HMP Altcourse Prison ,14,20/12/1995,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,70,n/a,n/a,n/a,"Infrastructure Journal, SMIF/GSL Investment Partnership, 2006",,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),HMP Rye Hill Prison,,01/07/1999,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,see above,n/a,n/a,n/a,G4S AR 2008 p98,,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),Medway Secure Training Centre,,03/03/1997,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,see above,n/a,n/a,n/a,SMIF Investment Partnership,,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),Rainsbrook Secure Training Centre,,03/07/1998,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,see above,n/a,n/a,n/a,www.smif.com accessed 06/06/2006,,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),GCHQ New Accommodation Project,,22/06/2000,Secondary Market Infrastructure Fund joint venture with GSL Partnership,n/a,see above,n/a,n/a,n/a,"PPP Bulletin, 05/02/2007",,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),Manchester Magistrates Court,,30/03/2001,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,see above,n/a,n/a,n/a,"PPP Bulletin, 05/02/2008",,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),Cheshire Centralised Custody Suites,,26/11/2004,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,see above,n/a,n/a,n/a,"PPP Bulletin, 05/02/2009",,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),North Wiltshire Schools,,31/10/2000,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,see above,n/a,n/a,n/a,"PPP Bulletin, 05/02/2010",,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),Nuffield Orthopaedic NHS Trust Centre,,20/04/2001,Secondary Market Infrastructure Fund joint venture with GSL Partnership,n/a,see above,n/a,n/a,n/a,"PPP Bulletin, 05/02/2011",,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),Oxford Churchill Hospital,,13/12/2005,Secondary Market Infrastructure Fund joint venture with GSL Partnership,20,see above,n/a,n/a,n/a,"PPP Bulletin, 05/02/2012",,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),East London LIFT,,23/05/2003,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,see above,n/a,n/a,n/a,"PPP Bulletin, 05/02/2013",,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),Wolverhampton LIFT,,29/10/2004,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,see above,n/a,n/a,n/a,"PPP Bulletin, 05/02/2014",,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),"Bexley, Bromley & Greenwich LIFT",,26/01/2005,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,see above,n/a,n/a,n/a,"PPP Bulletin, 05/02/2015",,
114,15/01/2006,Global Solutions (Englefield Capital & Electra Partners Europe),"Brent, Harrow & Hillingdon LIFT",,22/12/2004,Secondary Market Infrastructure Fund joint venture with GSL Partnership,50,see above,n/a,n/a,n/a,"PPP Bulletin, 05/02/2016",,
115,01/02/2006,Societe Generale,"Worcester Acute Hospital, Worcestershire Acute Hospitals NHS Trust",1,22/03/1999,Infrastructure Investors,16.7,n/a,n/a,n/a,n/a,Partnerships UK Database,,
116,01/03/2006,Interserve plc,"Littlemore Psychiatric Hospital, Oxford",1,06/01/1998,Secondary Market Infrastructure Fund,33.3,1.6,1.3,8.17,53,Interserve plc AR 2006 p18,,
117,29/03/2006,HSBC,Barnet General Hospital (Barnet Hospital Project Limited),11,12/02/1999,HSBC Infrastructure Company Limited (HICL),30,249.8,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
117,29/03/2006,HSBC,"Bishop Auckland Hospital, Co Durham",,28/05/1999,HSBC Infrastructure Company Limited (HICL),36,see above,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
117,29/03/2006,HSBC,Royal Blackburn Hospital (Consort Healthcare Blackburn (Holdings) Ltd),,09/07/2003,HSBC Infrastructure Company Limited (HICL),50,see above,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
117,29/03/2006,HSBC,Central Middlesex Hospital ,,06/11/2003,HSBC Infrastructure Company Limited (HICL),85,see above,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
117,29/03/2006,HSBC,Colchester Garrison (RMPA Holdings),,09/02/2004,HSBC Infrastructure Company Limited (HICL),42,see above,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
117,29/03/2006,HSBC,Defence Sixth Form College,,01/06/2003,HSBC Infrastructure Company Limited (HICL),45,see above,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
117,29/03/2006,HSBC,Medium Support Helicopter Aircrew Training Facility (MSHATF),,01/10/1997,HSBC Infrastructure Company Limited (HICL),21.8,see above,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
117,29/03/2006,HSBC,Health and Safety Laboratory,,12/04/2002,HSBC Infrastructure Company Limited (HICL),60.01,see above,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
117,29/03/2006,HSBC,"Home Office headquarters, London",,26/03/2002,HSBC Infrastructure Company Limited (HICL),65.9,see above,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
117,29/03/2006,HSBC,Sussex Custodial Services,,01/08/2001,HSBC Infrastructure Company Limited (HICL),82.3,see above,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
117,29/03/2006,HSBC,West Middlesex Hospital,,30/01/2001,HSBC Infrastructure Company Limited (HICL),95,see above,n/a,n/a,n/a,"HSBC Infrastructure Company Limited, Prospectus, 08/02/2006",HICL AR to 31 March 2007,
118,30/03/2006,HSBC,"Conwy Schools, Wales, ",3,12/03/2003,HSBC Infrastructure Company Limited (HICL),80,15.1,n/a,n/a,n/a,HICL AR 2007 p36,Enterprise Civic Buildings Ltd accounts 2006 p21,
118,31/03/2006,HSBC,Exeter Combined Court,,22/11/2002,HSBC Infrastructure Company Limited (HICL),80,see above,n/a,n/a,n/a,HICL AR 2007 p36,Enterprise Civic Buildings Ltd accounts 2006 p22,
118,01/04/2006,HSBC,"Stoke Mandeville Hospital, Aylesbury",,21/05/2004,HSBC Infrastructure Company Limited (HICL),80,see above,n/a,n/a,n/a,HICL AR 2007 p36,Enterprise Civic Buildings Ltd accounts 2006 p23,
119,04/05/2006,Lend Lease Corporation & Bank of Scotland ,Calderdale Royal Hospital,10,31/07/1998,Lend Lease joint venture with Bank of Scotland (includes one project in the Republic of Ireland),50/50 equalisation of equity in projects,14.7 Lend Lease received (A$25m) from HBOS re higher equity share,11.5,4.8,74.9,Lend Lease Corporation Press 04/05/2006,,
119,04/05/2006,Lend Lease Corporation & Bank of Scotland ,Worcester Hospital,,22/03/1999,Lend Lease joint venture with Bank of Scotland (includes one project in the Republic of Ireland),see above,see above,see above,see above,see above,Lend Lease Corporation AR 2006 p26,,
119,04/05/2006,Lend Lease Corporation & Bank of Scotland ,Hexham Hospital Phase 1 and 2,,27/04/2001,Lend Lease joint venture with Bank of Scotland (includes one project in the Republic of Ireland),see above,see above,see above,see above,see above,Lend Lease Corporation AR 2006 p26,,
119,04/05/2006,Lend Lease Corporation & Bank of Scotland ,Burnley Hospital,,13/10/2003,Lend Lease joint venture with Bank of Scotland (includes one project in the Republic of Ireland),see above,see above,see above,see above,see above,Lend Lease Corporation AR 2006 p26,,
119,04/05/2006,Lend Lease Corporation & Bank of Scotland ,Leeds Hospital,,15/10/2004,Lend Lease joint venture with Bank of Scotland (includes one project in the Republic of Ireland),see above,see above,see above,see above,see above,Lend Lease Corporation AR 2006 p26,,
119,04/05/2006,Lend Lease Corporation & Bank of Scotland ,Newcastle Grouped Schools 1,,18/04/2002,Lend Lease joint venture with Bank of Scotland (includes one project in the Republic of Ireland),see above,see above,see above,see above,see above,Lend Lease Corporation AR 2006 p26,,
119,04/05/2006,Lend Lease Corporation & Bank of Scotland ,Lincolnshire Grouped Schools,,30/09/2001,Lend Lease joint venture with Bank of Scotland (includes one project in the Republic of Ireland),see above,see above,see above,see above,see above,Lend Lease Corporation AR 2006 p26,,
119,04/05/2006,Lend Lease Corporation & Bank of Scotland ,Lillian Baylis school,,01/03/2003,Lend Lease joint venture with Bank of Scotland (includes one project in the Republic of Ireland),see above,see above,see above,see above,see above,Lend Lease Corporation AR 2006 p26,,
119,04/05/2006,Lend Lease Corporation & Bank of Scotland ,Treasury Accommodation 1,,01/05/2000,Lend Lease joint venture with Bank of Scotland (includes one project in the Republic of Ireland),see above,see above,see above,see above,see above,Lend Lease Corporation AR 2006 p26,,
119,04/05/2006,Lend Lease Corporation & Bank of Scotland ,Treasury Accommodation 2,,n/a,Lend Lease joint venture with Bank of Scotland (includes one project in the Republic of Ireland),see above,see above,see above,see above,see above,Lend Lease Corporation AR 2006 p26,,
120,01/06/2006,John Laing plc,Edinburgh Grouped Schools and ,2,15/11/2001,Secondary Market Infrastructure Fund,14.2,14.6,3.4,5.25,5.8,Laing AR 2005 p11,,
120,01/06/2006,John Laing plc,Glasgow Schools Project 2002,,26/07/2000,Secondary Market Infrastructure Fund,21.4,see above,see above,see above,see above,Laing AR 2006 p68 and 69,,
121,01/06/2006,John Laing plc,Cleveland & Durham Firearms Training Centre,1,01/04/2000,n/a,50,1,0.4,6.17,10.8,Laing AR 2006 p68 and 69,,
122,01/07/2006,ISS Mediclean,"Worcester Acute Hospital, Worcestershire Acute Hospitals NHS Trust",1,22/03/1999,n/a,n/a,n/a,6.9,n/a,n/a,ISS Holdings AR 2006 p8 and 61,,
123,01/07/2006,Innisfree Ltd ,"Penweddig School, Ceredigion CC, Wales",1,16/09/1999,PFI Infrastructure Company,42.5,3.4,n/a,n/a,n/a,PFI Infrastructure AR 2006 p2,,
124,01/07/2006,WS Atkins plc,"Penweddig School, Ceredigion CC, Wales",1,16/09/1999,PFI Infrastructure Company,42.5,n/a,n/a,n/a,n/a,PFI Infrastructure AR 2006 p2,,
125,01/07/2006,Wates Group,"Penweddig School, Ceredigion CC, Wales",1,16/09/1999,PFI Infrastructure Company,15,n/a,n/a,n/a,n/a,PFI Infrastructure AR 2006 p2,,
126,01/07/2006,Innisfree Ltd,"Dalmuir Sewage Treatment Works, West Dumbartonshire, Scotland",1,01/03/1999,Henderson Private Capital,22,n/a,n/a,n/a,n/a,"Global Water No 9, Sept 2011","HM Treasury PFI Database, accessed 22/06/2010",Partnerships UK Database
127,01/07/2006,Balfour Beatty plc,Connect Roads – A50 Stoke-Derby ,3,26/05/1996,Infrastructure Investors ,15,13.5,6,7.72,10.4,Balfour Beatty AR 2005 p35,,
127,01/07/2006,Balfour Beatty plc,A30/A35 Exeter-Bere Regis ,,24/07/1996,Infrastructure Investors ,see above,see above,see above,see above,see above,Balfour Beatty AR 2005 p35,,
127,01/07/2006,Balfour Beatty plc,M77 Scotland,,01/04/2003,Infrastructure Investors ,see above,see above,see above,see above,see above,Balfour Beatty AR 2005 p35,,
128,01/07/2006,Anglian Water Group,Highland Schools (Alpha Schools Highland (Holdings) Limited) ,2,12/06/2001,Galliford Try plc (takeover of Morrison Construction),50,n/a,n/a,n/a,n/a,Galliford Try AR 2006 p12,,
128,01/07/2006,Anglian Water Group,Defence Housing Estates Portsmouth (Tricomm Housing Portsmouth Ltd),,30/11/2001,Galliford Try plc (takeover of Morrison Construction),50,n/a,n/a,n/a,n/a,Galliford Try AR 2006 p12,,
129,01/07/2006,n/a,"Mid-Argyll Community Hospital, ",3,04/02/2004,PFI Infrastructure Company,"15.0, ",7.4,n/a,n/a,n/a,PFI Infrastructure Interim Dec 2006 p3,,
129,01/07/2006,n/a,Salisbury Hospital ,,04/03/2004,PFI Infrastructure Company,60,see above,n/a,n/a,n/a,PFI Infrastructure Interim Dec 2006 p3,,
129,01/07/2006,n/a,Forfar Community Hospital,,30/03/2003,PFI Infrastructure Company,60,see above,n/a,n/a,n/a,PFI Infrastructure Interim Dec 2006 p3,,
130,01/07/2006,Amec plc,Newcastle Estate Partnership,1,08/01/1998,Amec Staff Pensions Trustee Ltd,50,25,n/a,n/a,n/a,Amec AR 2006 p105,,
131,01/07/2006,Costain Group plc,"Kings College Hospital, London",1,06/12/1999,Infrastructure Investors,16.7,n/a,3.6,n/a,n/a,Costain Group plc AR 2006 p14,,
132,01/07/2006,Chiltern Securities,Cornwall Healthcare NHS Trust Mental Health ,2,30/04/2002,Secondary Market Infrastructure Fund,100,n/a,n/a,n/a,n/a,SMIF.com accessed 19/2006,,
132,01/07/2006,Chiltern Securities,North Kirklees Primary Care Centres,,21/04/2004,Secondary Market Infrastructure Fund,see above,n/a,n/a,n/a,n/a,SMIF.com accessed 19/2006,,
133,12/07/2006,Alfred McAlpine plc ,"Conwy Schools, Wales, ",3,12/03/2003,HICL Infrastructure,10,2.1,n/a,n/a,n/a,Alfred McAlpine plc AR 2006 p10,,
133,12/07/2006,Alfred McAlpine plc ,Exeter Combined Court ,,22/11/2002,HICL Infrastructure,n/a,n/a,n/a,n/a,n/a,HICL AR 2007 p39 and 49,,
133,12/07/2006,Alfred McAlpine plc ,"Stoke Mandeville Hospital, Aylesbury",,21/05/2004,HICL Infrastructure,n/a,n/a,n/a,n/a,n/a,Enterprise Civic Buildings Ltd accounts 2006 p21,,
134,18/07/2006,Skanska UK,"HMP Parc Prison, Bridgend, Wales ",1,04/01/1996,Innisfree Ltd,9,3.8,2.7,10.5,23.4,Skanska Press 18/07/2006,,
135,04/08/2006,Bouygues UK,Barnet General Hospital (Barnet Hospital Project Limited),1,12/02/1999,HICL Infrastructure ,11,4.6,n/a,7.5,n/a,HICL Press 4/8/2006,,
136,01/09/2006,Barr Construction,"Dalmuir Sewage Treatment Works, West Dumbartonshire",1,01/03/1999,Henderson Private Capital,20.9,n/a,n/a,7.5,n/a,"Global Water, No 9, Sept 2011",,
137,01/09/2006,Thomas Armstrong Ltd,Workington Community Hospital and ,2,n/a,PFI Infrastructure Company,100,6,n/a,n/a,n/a,PFI Infrastructure AR 2006 p2 and p9,,
138,02/09/2006,Thomas Armstrong Ltd,West Cumbria Police Headquarters,,01/06/2000,see above,100,see above,see above,see above,see above,see above,,
139,06/09/2006,Carillion plc,"HM Altcourse Prison,",8,20/12/1995,Secondary Market Infrastructure Fund and Infrastructure Investors,n/a,46.7,25.6,7.05,17.2,Carillion plc AR 2006 p8 and ,,
139,06/09/2006,Carillion plc,HMP Rye Hill Prison,,01/07/1999,Secondary Market Infrastructure Fund and Infrastructure Investors,n/a,see above,see above,see above,see above,Carillion AR 2007 p103,,
139,06/09/2006,Carillion plc,Rainsbrook (Onley) Secure Training Centre,,03/07/1998,Secondary Market Infrastructure Fund and Infrastructure Investors,n/a,see above,see above,see above,see above,Carillion Press 06/09/2006,,
139,06/09/2006,Carillion plc,Medway Secure Training Centre,,03/03/1997,Secondary Market Infrastructure Fund and Infrastructure Investors,n/a,see above,see above,see above,see above,Daily Telegraph 07/09/2006,,
139,06/09/2006,Carillion plc,East Anglia Courts,,31/10/2002,Secondary Market Infrastructure Fund and Infrastructure Investors,n/a,see above,see above,see above,see above,Daily Telegraph 07/09/2006,,
139,06/09/2006,Carillion plc,Manchester Courts,,30/03/2001,Secondary Market Infrastructure Fund and Infrastructure Investors,33.3,see above,see above,see above,see above,Daily Telegraph 07/09/2006,,
139,06/09/2006,Carillion plc,Humberside Courts,,31/03/2000,Secondary Market Infrastructure Fund and Infrastructure Investors,n/a,see above,see above,see above,see above,Daily Telegraph 07/09/2006,,
